Store,DayOfWeek,Sales,Customers,Open,Promo,SchoolHoliday,year,month,day,StoreType,CompetitionDistance
1,7,0,0,0,0,0,2015,5,31,0,570
2,7,0,0,0,0,0,2015,5,31,0,8780
3,7,0,0,0,0,0,2015,5,31,0,290
4,7,0,0,0,0,0,2015,5,31,1,6880
5,7,0,0,0,0,0,2015,5,31,0,1070
6,7,0,0,0,0,0,2015,5,31,1,8250
7,7,0,0,0,0,0,2015,5,31,0,1080
8,7,0,0,0,0,0,2015,5,31,0,2460
9,7,0,0,0,0,0,2015,5,31,0,220
10,7,0,0,0,0,0,2015,5,31,0,4740
11,7,0,0,0,0,0,2015,5,31,0,250
12,7,0,0,0,0,0,2015,5,31,0,4260
13,7,0,0,0,0,0,2015,5,31,0,340
14,7,0,0,0,0,0,2015,5,31,0,350
15,7,0,0,0,0,0,2015,5,31,0,4080
16,7,0,0,0,0,0,2015,5,31,1,410
17,7,0,0,0,0,0,2015,5,31,1,2380
18,7,0,0,0,0,0,2015,5,31,1,7860
19,7,0,0,0,0,0,2015,5,31,0,1980
20,7,0,0,0,0,0,2015,5,31,0,690
1,6,3447,513,1,0,0,2015,5,30,0,570
2,6,2136,224,1,0,0,2015,5,30,0,8780
3,6,1018,122,1,0,0,2015,5,30,0,290
4,6,3458,314,1,0,0,2015,5,30,1,6880
5,6,7195,712,1,0,0,2015,5,30,0,1070
6,6,9146,718,1,0,0,2015,5,30,1,8250
7,6,3474,378,1,0,0,2015,5,30,0,1080
8,6,5371,438,1,0,0,2015,5,30,0,2460
9,6,10428,1380,1,0,0,2015,5,30,0,220
10,6,4873,378,1,0,0,2015,5,30,0,4740
11,6,11207,1599,1,0,0,2015,5,30,0,250
12,6,4529,431,1,0,0,2015,5,30,0,4260
13,6,6052,829,1,0,0,2015,5,30,0,340
14,6,1273,148,1,0,0,2015,5,30,0,350
15,6,5348,582,1,0,0,2015,5,30,0,4080
16,6,3224,397,1,0,0,2015,5,30,1,410
17,6,6405,497,1,0,0,2015,5,30,1,2380
18,6,5985,394,1,0,0,2015,5,30,1,7860
19,6,2866,241,1,0,0,2015,5,30,0,1980
20,6,3521,538,1,0,0,2015,5,30,0,690
1,5,4541,576,1,0,0,2015,5,29,0,570
2,5,5513,626,1,0,0,2015,5,29,0,8780
3,5,3129,425,1,0,0,2015,5,29,0,290
4,5,3973,362,1,0,0,2015,5,29,1,6880
5,5,9365,950,1,0,0,2015,5,29,0,1070
6,5,8308,685,1,0,0,2015,5,29,1,8250
7,5,3985,443,1,0,0,2015,5,29,0,1080
8,5,6059,480,1,0,0,2015,5,29,0,2460
9,5,12315,1652,1,0,0,2015,5,29,0,220
10,5,6288,525,1,0,0,2015,5,29,0,4740
11,5,14422,1817,1,0,0,2015,5,29,0,250
12,5,6563,617,1,0,0,2015,5,29,0,4260
13,5,7181,922,1,0,1,2015,5,29,0,340
14,5,4413,533,1,0,0,2015,5,29,0,350
15,5,7989,933,1,0,0,2015,5,29,0,4080
16,5,3346,411,1,0,0,2015,5,29,1,410
17,5,6980,525,1,0,0,2015,5,29,1,2380
18,5,6413,435,1,0,0,2015,5,29,1,7860
19,5,3920,373,1,0,0,2015,5,29,0,1980
20,5,4852,729,1,0,0,2015,5,29,0,690
1,4,4049,518,1,0,0,2015,5,28,0,570
2,4,5062,545,1,0,0,2015,5,28,0,8780
3,4,1991,276,1,0,0,2015,5,28,0,290
4,4,3664,317,1,0,0,2015,5,28,1,6880
5,4,6929,714,1,0,0,2015,5,28,0,1070
6,4,7616,614,1,0,0,2015,5,28,1,8250
7,4,3830,450,1,0,0,2015,5,28,0,1080
8,4,5257,438,1,0,0,2015,5,28,0,2460
9,4,9220,1414,1,0,0,2015,5,28,0,220
10,4,5255,483,1,0,0,2015,5,28,0,4740
11,4,13216,1752,1,0,0,2015,5,28,0,250
12,4,5935,603,1,0,0,2015,5,28,0,4260
13,4,6213,904,1,0,1,2015,5,28,0,340
14,4,3237,389,1,0,0,2015,5,28,0,350
15,4,6132,746,1,0,0,2015,5,28,0,4080
16,4,3068,381,1,0,0,2015,5,28,1,410
17,4,4932,453,1,0,0,2015,5,28,1,2380
18,4,4953,353,1,0,0,2015,5,28,1,7860
19,4,3357,305,1,0,0,2015,5,28,0,1980
20,4,4114,681,1,0,0,2015,5,28,0,690
1,3,5093,672,1,0,0,2015,5,27,0,570
2,3,5221,605,1,0,0,2015,5,27,0,8780
3,3,1915,283,1,0,0,2015,5,27,0,290
4,3,2702,287,1,0,0,2015,5,27,1,6880
5,3,6445,716,1,0,0,2015,5,27,0,1070
6,3,6422,532,1,0,0,2015,5,27,1,8250
